system,objective,threshold,n_children_test,n_clips_test,f1_child_ci_low,f1_child_ci_high,balanced_acc_child_ci_low,balanced_acc_child_ci_high,mcc_child_ci_low,mcc_child_ci_high,auroc_child_ci_low,auroc_child_ci_high,auprc_child_ci_low,auprc_child_ci_high
mil/mil_results/whisper_mil_tsmil_concat,youden,0.7981036305427551,109,436,0.8134297321157613,0.8816591802358226,0.7228581831123757,0.8257623040478188,0.39736955741128643,0.5934005082567159,0.8228195839633619,0.9069432694875267,0.9123322281965551,0.9698591083070782
pseudo_frame/results/wavlm_pseudo_frame,f1,0.5648563504219055,109,441,0.8375772566886537,0.8955261858645703,0.51030252736209,0.5628946350938238,0.07134331123095194,0.27622007478788724,0.7844974934154273,0.8753381468839189,0.9038255121618856,0.9606001364065201
pseudo_frame/results/wavlm_pseudo_frame,balanced_acc,0.8626738786697388,109,441,0.8512715855572999,0.9074245541838135,0.7086354899241304,0.8002872254839017,0.4152043680699107,0.5928817795125908,0.7844974934154273,0.8753381468839189,0.9038255121618856,0.9606001364065201
pseudo_frame/results/wavlm_pseudo_frame,youden,0.8626738786697388,109,441,0.8512715855572999,0.9074245541838135,0.7086354899241304,0.8002872254839017,0.4152043680699107,0.5928817795125908,0.7844974934154273,0.8753381468839189,0.9038255121618856,0.9606001364065201
pseudo_frame/results/wavlm_pseudo_frame_c1distill,f1,0.0996364876627922,109,441,0.8320765148164528,0.8933654885482024,0.49872831139748913,0.5361337945541078,-0.00928316199812768,0.22029845474913742,0.6322374981372659,0.7436254438178781,0.8118286364743836,0.8996474032388819
pseudo_frame/results/wavlm_pseudo_frame_c1distill,balanced_acc,0.1308835297822952,109,441,0.8437075823361858,0.8998665754599544,0.5417533444020394,0.6216491761736214,0.15866898159988074,0.38911780234016496,0.6322374981372659,0.7436254438178781,0.8118286364743836,0.8996474032388819
pseudo_frame/results/wavlm_pseudo_frame_c1distill,youden,0.1308835297822952,109,441,0.8437075823361858,0.8998665754599544,0.5417533444020394,0.6216491761736214,0.15866898159988074,0.38911780234016496,0.6322374981372659,0.7436254438178781,0.8118286364743836,0.8996474032388819
pseudo_frame/results/wavlm_pseudo_frame_synth,f1,0.5080899596214294,109,441,0.8335644855381698,0.8960208831230299,0.5093314577672083,0.5755378464161852,0.04729015272353532,0.30944158427263474,0.7584508118927975,0.8517164177053503,0.893497333051076,0.9503053511674234
pseudo_frame/results/wavlm_pseudo_frame_synth,balanced_acc,0.7544400095939636,109,441,0.8449135696907725,0.898208002257635,0.6477825875612097,0.7410434519989146,0.32347301131282674,0.5173984126195725,0.7584508118927975,0.8517164177053503,0.893497333051076,0.9503053511674234
pseudo_frame/results/wavlm_pseudo_frame_synth,youden,0.7544400095939636,109,441,0.8449135696907725,0.898208002257635,0.6477825875612097,0.7410434519989146,0.32347301131282674,0.5173984126195725,0.7584508118927975,0.8517164177053503,0.893497333051076,0.9503053511674234
pseudo_frame/results/wavlm_pseudo_frame_synth_v1,f1,0.4515907168388366,109,441,0.8465746417685597,0.9028934946613348,0.534439578903098,0.6053429232088446,0.17132246349927543,0.388602169649723,0.7128699556668623,0.8132839964105292,0.8736214706852379,0.9389033572936756
pseudo_frame/results/wavlm_pseudo_frame_synth_v1,balanced_acc,0.750045895576477,109,441,0.8055050615540662,0.8721137219654169,0.6017045187104424,0.7069865962632191,0.20956810912271448,0.4207973861941474,0.7128699556668623,0.8132839964105292,0.8736214706852379,0.9389033572936756
pseudo_frame/results/wavlm_pseudo_frame_synth_v1,youden,0.750045895576477,109,441,0.8055050615540662,0.8721137219654169,0.6017045187104424,0.7069865962632191,0.20956810912271448,0.4207973861941474,0.7128699556668623,0.8132839964105292,0.8736214706852379,0.9389033572936756
pyannote/babar_age_stratified/12_16m/12_16m,f1,0.1483601472823215,92,234,0.8215364167995747,0.9113944801826105,0.7499862869198313,0.8672444860999311,0.4719216030866321,0.7161019922017007,0.7618642446824289,0.8791856528678819,0.8484141679279132,0.9340770914085551
pyannote/babar_age_stratified/12_16m/12_16m,balanced_acc,0.2519066595317087,92,234,0.7896473147998412,0.8790228526398739,0.7408925503387048,0.8462008020536582,0.4469539676233048,0.6560810432308573,0.7618642446824289,0.8791856528678819,0.8484141679279132,0.9340770914085551
